iter	Passed	Remaining
0	215	127482
1	230	68130
2	246	48395
3	261	38462
4	277	32674
5	290	28397
6	303	25408
7	318	23284
8	332	21580
9	346	20182
10	358	18983
11	370	17942
12	383	17105
13	396	16414
14	410	15830
15	424	15325
16	438	14860
17	451	14416
18	465	14074
19	481	13808
20	498	13565
21	513	13337
22	533	13222
23	549	13038
24	565	12837
25	582	12696
26	598	12551
27	615	12419
28	631	12279
29	644	12096
30	660	11965
31	675	11847
32	689	11707
33	703	11571
34	717	11435
35	729	11285
36	742	11160
37	755	11033
38	768	10910
39	779	10770
40	792	10668
41	809	10618
42	821	10508
43	834	10415
44	848	10335
45	860	10236
46	874	10161
47	890	10105
48	904	10041
49	920	9999
50	938	9970
51	958	9969
52	982	10006
53	1000	9990
54	1022	10005
55	1049	10065
56	1068	10044
57	1083	9994
58	1098	9939
59	1114	9899
60	1128	9845
61	1145	9814
62	1161	9774
63	1181	9768
64	1204	9783
65	1261	10073
66	1294	10163
67	1313	10143
68	1330	10104
69	1345	10051
70	1361	10013
71	1376	9963
72	1394	9936
73	1412	9908
74	1428	9865
75	1445	9830
76	1461	9791
77	1476	9747
78	1491	9704
79	1507	9665
80	1523	9631
81	1539	9595
82	1554	9553
83	1570	9517
84	1589	9497
85	1608	9483
86	1627	9465
87	1645	9440
88	1665	9429
89	1688	9435
90	1709	9432
91	1729	9418
92	1751	9415
93	1775	9427
94	1804	9456
95	1840	9526
96	1861	9517
97	1884	9519
98	1905	9506
99	1923	9483
100	1942	9464
101	1965	9461
102	1982	9431
103	2001	9410
104	2016	9373
105	2034	9345
106	2053	9326
107	2073	9311
108	2089	9276
109	2110	9267
110	2124	9225
111	2140	9191
112	2156	9159
113	2170	9119
114	2186	9087
115	2199	9046
116	2214	9010
117	2232	8984
118	2249	8960
119	2263	8920
120	2278	8886
121	2289	8837
122	2301	8795
123	2315	8756
124	2329	8721
125	2343	8684
126	2355	8643
127	2366	8597
128	2379	8559
129	2392	8522
130	2407	8491
131	2418	8446
132	2438	8434
133	2458	8420
134	2477	8403
135	2493	8379
136	2511	8360
137	2527	8333
138	2541	8300
139	2553	8261
140	2564	8220
141	2577	8187
142	2590	8153
143	2603	8118
144	2620	8097
145	2639	8080
146	2658	8065
147	2672	8036
148	2687	8009
149	2703	7984
150	2714	7946
151	2730	7922
152	2743	7889
153	2767	7887
154	2785	7870
155	2802	7851
156	2819	7831
157	2838	7816
158	2854	7790
159	2871	7771
160	2887	7748
161	2903	7726
162	2916	7693
163	2928	7660
164	2939	7625
165	2956	7603
166	2968	7572
167	2981	7543
168	2991	7506
169	3005	7479
170	3023	7461
171	3037	7434
172	3052	7410
173	3065	7381
174	3080	7358
175	3091	7325
176	3103	7292
177	3115	7262
178	3127	7234
179	3138	7201
180	3150	7171
181	3163	7144
182	3175	7113
183	3184	7079
184	3196	7048
185	3208	7021
186	3220	6992
187	3231	6961
188	3246	6940
189	3259	6913
190	3269	6882
191	3282	6855
192	3296	6831
193	3308	6804
194	3317	6770
195	3329	6744
196	3341	6716
197	3350	6683
198	3361	6655
199	3374	6629
200	3383	6597
201	3393	6569
202	3408	6548
203	3423	6527
204	3433	6497
205	3447	6476
206	3459	6451
207	3472	6426
208	3482	6398
209	3495	6374
210	3508	6351
211	3520	6327
212	3531	6301
213	3544	6277
214	3560	6260
215	3574	6238
216	3587	6216
217	3603	6198
218	3617	6178
219	3640	6171
220	3655	6153
221	3670	6134
222	3683	6111
223	3693	6084
224	3706	6062
225	3720	6042
226	3733	6019
227	3743	5993
228	3758	5974
229	3774	5956
230	3790	5939
231	3808	5926
232	3824	5908
233	3840	5892
234	3854	5871
235	3870	5854
236	3883	5833
237	3896	5811
238	3908	5788
239	3920	5767
240	3934	5746
241	3948	5727
242	3961	5705
243	3971	5680
244	3984	5659
245	3999	5641
246	4012	5620
247	4031	5607
248	4046	5590
249	4060	5571
250	4070	5545
251	4082	5524
252	4095	5503
253	4105	5479
254	4116	5456
255	4130	5437
256	4143	5417
257	4153	5393
258	4165	5372
259	4180	5354
260	4194	5334
261	4208	5317
262	4223	5299
263	4240	5284
264	4253	5264
265	4266	5245
266	4279	5225
267	4294	5208
268	4308	5189
269	4324	5173
270	4336	5152
271	4353	5138
272	4365	5117
273	4383	5103
274	4395	5082
275	4407	5062
276	4423	5045
277	4439	5030
278	4453	5011
279	4463	4989
280	4476	4970
281	4492	4954
282	4506	4935
283	4520	4917
284	4531	4897
285	4542	4876
286	4555	4857
287	4568	4838
288	4581	4819
289	4591	4796
290	4605	4779
291	4616	4758
292	4630	4741
293	4643	4722
294	4661	4708
295	4680	4696
296	4696	4680
297	4709	4662
298	4721	4643
299	4736	4625
300	4749	4607
301	4761	4588
302	4777	4572
303	4791	4554
304	4803	4535
305	4822	4523
306	4840	4508
307	4853	4491
308	4864	4470
309	4874	4449
310	4882	4427
311	4893	4407
312	4905	4388
313	4916	4368
314	4928	4349
315	4939	4329
316	4950	4310
317	4961	4290
318	4974	4272
319	4988	4256
320	5005	4241
321	5015	4221
322	5030	4204
323	5053	4195
324	5070	4180
325	5085	4165
326	5095	4144
327	5106	4126
328	5117	4106
329	5127	4086
330	5138	4067
331	5149	4048
332	5160	4029
333	5171	4010
334	5183	3991
335	5193	3972
336	5204	3953
337	5215	3934
338	5229	3918
339	5239	3899
340	5251	3880
341	5263	3862
342	5271	3842
343	5284	3825
344	5295	3806
345	5306	3787
346	5316	3769
347	5325	3749
348	5335	3730
349	5344	3710
350	5353	3691
351	5362	3671
352	5371	3652
353	5384	3635
354	5398	3619
355	5414	3604
356	5430	3589
357	5444	3573
358	5454	3555
359	5468	3539
360	5482	3523
361	5498	3508
362	5511	3491
363	5521	3473
364	5531	3455
365	5544	3438
366	5556	3421
367	5566	3403
368	5578	3386
369	5589	3368
370	5599	3350
371	5611	3333
372	5621	3315
373	5633	3298
374	5648	3283
375	5660	3266
376	5673	3250
377	5685	3233
378	5695	3216
379	5709	3200
380	5720	3183
381	5730	3165
382	5742	3148
383	5753	3131
384	5763	3113
385	5775	3097
386	5789	3081
387	5804	3066
388	5819	3051
389	5828	3033
390	5842	3018
391	5856	3003
392	5868	2986
393	5877	2968
394	5887	2951
395	5896	2933
396	5906	2916
397	5917	2899
398	5925	2881
399	5935	2864
400	5945	2846
401	5955	2829
402	5966	2813
403	5976	2796
404	5987	2779
405	6000	2763
406	6013	2748
407	6025	2732
408	6037	2716
409	6050	2700
410	6060	2683
411	6070	2667
412	6081	2650
413	6090	2633
414	6102	2617
415	6113	2601
416	6123	2584
417	6134	2568
418	6144	2551
419	6153	2534
420	6164	2518
421	6179	2504
422	6190	2487
423	6200	2471
424	6211	2455
425	6224	2440
426	6234	2423
427	6248	2408
428	6261	2393
429	6269	2376
430	6281	2361
431	6292	2345
432	6300	2328
433	6312	2312
434	6324	2297
435	6333	2280
436	6344	2264
437	6354	2248
438	6365	2232
439	6377	2217
440	6388	2202
441	6398	2185
442	6410	2170
443	6421	2154
444	6438	2141
445	6449	2125
446	6463	2111
447	6476	2096
448	6490	2081
449	6499	2065
450	6509	2049
451	6521	2034
452	6531	2018
453	6543	2003
454	6555	1988
455	6568	1973
456	6581	1958
457	6592	1943
458	6604	1928
459	6616	1913
460	6626	1897
461	6639	1882
462	6649	1867
463	6657	1850
464	6669	1835
465	6678	1819
466	6688	1804
467	6697	1788
468	6705	1772
469	6717	1757
470	6725	1742
471	6736	1726
472	6747	1711
473	6757	1696
474	6769	1681
475	6779	1666
476	6789	1650
477	6800	1636
478	6814	1621
479	6824	1606
480	6836	1591
481	6848	1577
482	6858	1561
483	6869	1546
484	6880	1532
485	6890	1517
486	6900	1502
487	6912	1487
488	6921	1472
489	6931	1457
490	6943	1442
491	6953	1427
492	6965	1412
493	6977	1398
494	6990	1383
495	7001	1369
496	7016	1355
497	7029	1340
498	7044	1326
499	7057	1312
500	7068	1297
501	7081	1283
502	7092	1269
503	7104	1254
504	7112	1239
505	7123	1224
506	7135	1210
507	7147	1195
508	7157	1181
509	7168	1166
510	7177	1151
511	7189	1137
512	7202	1123
513	7213	1108
514	7225	1094
515	7236	1079
516	7245	1065
517	7257	1050
518	7268	1036
519	7275	1021
520	7285	1006
521	7293	992
522	7304	977
523	7314	963
524	7325	948
525	7335	934
526	7346	920
527	7355	905
528	7366	891
529	7376	876
530	7387	862
531	7398	848
532	7409	834
533	7422	820
534	7433	805
535	7441	791
536	7453	777
537	7463	762
538	7473	748
539	7483	734
540	7492	720
541	7501	705
542	7512	691
543	7521	677
544	7533	663
545	7543	649
546	7553	635
547	7566	621
548	7578	607
549	7593	593
550	7606	579
551	7619	565
552	7633	552
553	7649	538
554	7663	524
555	7676	510
556	7689	497
557	7700	483
558	7715	469
559	7731	455
560	7744	441
561	7757	427
562	7771	414
563	7782	400
564	7796	386
565	7809	372
566	7822	358
567	7830	344
568	7840	330
569	7849	316
570	7859	302
571	7870	288
572	7879	275
573	7888	261
574	7897	247
575	7907	233
576	7919	219
577	7929	205
578	7939	191
579	7952	178
580	7962	164
581	7974	150
582	7988	137
583	7999	123
584	8009	109
585	8022	95
586	8033	82
587	8041	68
588	8052	54
589	8063	41
590	8073	27
591	8086	13
592	8097	0
