No,抽選日,当選数字,口数[ストレート],口数[ボックス],口数[セット・ストレート],口数[セット・ボックス],金額[ストレート],金額[ボックス],金額[セット・ストレート],金額[セット・ボックス],販売実績
1,1994/10/07,1149,0,0,0,0,942600,78500,510500,39200,0
2,1994/10/14,7921,0,0,0,0,923700,38400,481000,19200,0
3,1994/10/21,0097,0,0,0,0,1516600,126300,821400,63100,0
4,1994/10/28,0171,0,0,0,0,579400,48200,313800,24100,0
5,1994/11/04,0265,0,0,0,0,1222900,50900,636900,25400,0
6,1994/11/11,5482,0,0,0,0,1300500,54100,677300,27000,0
7,1994/11/18,3950,0,0,0,0,1041700,43400,542500,21700,0
8,1994/11/25,7507,0,0,0,0,2717700,226400,1472000,113200,0
9,1994/12/02,2664,0,0,0,0,2293800,191100,1242400,95500,0
10,1994/12/09,2436,0,0,0,0,423300,17600,220400,8800,0
11,1994/12/16,0254,0,0,0,0,692400,28800,360600,14400,0
12,1994/12/23,9722,0,0,0,0,1622600,135200,878900,67600,0
13,1994/12/30,4673,0,0,0,0,752100,31300,391700,15600,0
14,1995/01/06,1409,0,0,0,0,827700,34400,431000,17200,0
15,1995/01/10,6419,0,0,0,0,759900,31600,395700,15800,0
16,1995/01/13,0524,0,0,0,0,360800,15000,187900,7500,0
17,1995/01/17,8697,0,0,0,0,1538000,64000,801000,32000,0
18,1995/01/20,3062,0,0,0,0,709000,29500,369200,14700,0
19,1995/01/24,1013,0,0,0,0,156600,13000,84800,6500,0
20,1995/01/27,2264,0,0,0,0,1053700,87800,570700,43900,0
21,1995/01/31,3825,0,0,0,0,424200,17600,220900,8800,0
22,1995/02/03,7059,0,0,0,0,1260900,52500,656700,26200,0
23,1995/02/07,0283,0,0,0,0,949400,39500,494400,19700,0
24,1995/02/10,2321,0,0,0,0,481200,40100,260600,20000,0
25,1995/02/14,4556,0,0,0,0,1319900,109900,714900,54900,0
26,1995/02/17,3360,0,0,0,0,1261900,105100,683500,52500,0
27,1995/02/21,4908,0,0,0,0,1295000,53900,674400,26900,0
28,1995/02/24,3466,0,0,0,0,1413500,117700,765600,58800,0
29,1995/02/28,2061,0,0,0,0,655000,27200,341100,13600,0
30,1995/03/03,7566,0,0,0,0,1728100,144000,936000,72000,0
31,1995/03/07,4830,0,0,0,0,1117500,46500,582000,23200,0
32,1995/03/10,4575,0,0,0,0,1243300,103600,673400,51800,0
33,1995/03/14,5819,0,0,0,0,1106800,46100,576400,23000,0
34,1995/03/17,7521,0,0,0,0,564000,23500,293700,11700,0
35,1995/03/21,4703,0,0,0,0,857600,35700,446600,17800,0
36,1995/03/24,9776,0,0,0,0,2282600,190200,1236400,95100,0
37,1995/03/28,6941,0,0,0,0,955900,39800,497800,19900,0
38,1995/03/31,8634,0,0,0,0,744200,31000,387600,15500,0
39,1995/04/04,5560,0,0,0,0,2027100,168900,1098000,84400,0
40,1995/04/07,5584,0,0,0,0,1618000,134800,876400,67400,0
41,1995/04/11,0228,0,0,0,0,424500,35300,229900,17600,0
42,1995/04/14,9875,0,0,0,0,1627900,67800,847800,33900,0
43,1995/04/18,5031,0,0,0,0,725500,30200,377800,15100,0
44,1995/04/21,4742,0,0,0,0,1269600,105800,687700,52900,0
45,1995/04/25,5543,0,0,0,0,861400,71700,466500,35800,0
46,1995/04/28,9476,0,0,0,0,1390900,57900,724400,28900,0
47,1995/05/02,9125,0,0,0,0,849200,35300,442200,17600,0
